year,coo_id,coa_id,coo_name,coa_name,coo,coa,coo_iso,coa_iso,f_0_4,f_5_11,f_12_17,f_18_59,f_60,f_other,f_total,m_0_4,m_5_11,m_12_17,m_18_59,m_60,m_other,m_total,total
2005,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,0,5,0,0,0,0,5,0,0,7,7,0,0,14,19
2006,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5
2007,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,0,0,14,0,0,0,14,0,10,10,10,0,0,30,44
2008,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,0,0,10,0,0,0,10,0,12,0,48,0,0,60,70
2009,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,16,0,0,20,0,0,36,0,16,10,66,0,0,92,128
2010,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,5,0,5,11,0,0,21,0,0,14,39,0,0,53,74
2011,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,21,17,10,45,0,0,93,17,12,5,97,0,0,131,9494
2012,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,20,19,17,56,0,72191,72303,20,12,5,81,0,78947,79065,248666
2013,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,15,31,34,62,0,0,142,5,5,13,70,0,0,93,585711
2014,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,22372,23178,16201,50774,4054,0,116579,24334,24490,16973,50395,3975,0,120167,1558149
2015,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503846
2016,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,5,5,15,92,0,0,117,11,24,8,20,0,0,63,2824167
2017,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,8,5,0,79,0,0,92,0,26,10,34,0,0,70,3424399
2018,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,284080,309888,193300,811487,58147,0,1656902,304035,330915,225144,1051469,54012,0,1965575,3622477
2019,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,285668,322983,179668,799852,56910,0,1645081,305587,343537,204763,1024856,52546,0,1931289,3576370
2020,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,257733,332019,205675,822787,58838,0,1677052,262045,361296,243076,1043830,54071,0,1964318,3641370
2021,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,246770,373607,197814,847309,61568,0,1727068,264347,397781,216627,1075220,56326,0,2010301,3737369
2022,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,268310,330634,205516,781379,59151,0,1644990,286939,350580,227039,973061,53289,0,1890908,3535898
2023,185,196,Syrian Arab Rep.,Türkiye,SYR,TUR,SYR,TUR,242182,314776,187127,733118,58300,0,1535503,258548,333021,201916,833970,51822,0,1679277,3214780
2001,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22657
2002,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23097
2003,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22323
2004,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21389
2005,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18164
2006,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34475
2007,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14742
2008,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13478
2009,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12160
2010,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5249
2011,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4848
2012,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4627
2013,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5406
2014,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6467
2015,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7504
2016,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8242
2017,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8802
2018,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8806
2019,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8640
2020,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8526
2021,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9016
2022,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,8,20,284,12,10,334,0,11,24,368,24,23,450,8833
2023,91,202,Iran (Islamic Rep. of),United States of America,IRN,USA,IRN,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9395
2001,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462
2002,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000
2003,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48640
2004,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40765
2005,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28899
2006,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17137
2007,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17586
2008,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36408
2009,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,282,980,1320,12858,2630,0,18070,372,1072,1502,22200,2604,0,27750,45820
2010,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,298,970,1274,13138,2748,0,18428,378,1172,1514,23512,2756,0,29332,47760
2011,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,188,511,591,6892,1425,0,9607,217,610,775,12515,1433,0,15550,25157
2012,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,254,590,684,7826,1536,0,10890,259,715,892,13934,1557,0,17357,28247
2013,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,313,631,571,7095,875,0,9485,323,734,768,12468,1160,0,15453,24938
2014,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,358,698,614,7544,957,0,10171,361,759,821,13050,1284,0,16275,26446
2015,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,424,749,646,8161,983,0,10963,432,832,861,14680,1385,0,18190,29153
2016,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,864,1298,975,12458,1117,0,16712,909,1497,1601,27867,1578,0,33452,50164
2017,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,1198,1595,1178,14606,1196,0,19773,1213,1811,1580,30047,1714,0,36365,56138
2018,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,1493,1685,1541,16607,1540,0,22866,1426,2042,1783,32548,1892,0,39691,62557
2019,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,1606,2029,1529,17833,1673,0,24670,1479,2192,1855,32975,2078,0,40579,65249
2020,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,1495,1980,1529,17671,1551,0,24226,1431,2108,1763,31541,2220,0,39063,63320
2021,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,1337,1994,1453,16867,1612,0,23263,1220,2090,1703,29655,2373,0,37041,60351
2022,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,891,1221,957,10906,1491,83,15549,846,1283,1175,17610,2293,195,23402,38965
2023,91,72,Iran (Islamic Rep. of),Germany,IRN,GFR,IRN,DEU,1039,2209,1713,18211,1889,0,25061,983,2299,1997,30802,2773,0,38854,64158
2001,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,708,708,0,0,0,0,0,1279,1279,1987
2002,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,675,675,0,0,0,0,0,1209,1209,1884
2003,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,600,600,0,0,0,0,0,1059,1059,1659
2004,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682
2005,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,588,588,0,0,0,0,0,1046,1046,1634
2006,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,578,578,0,0,0,0,0,1039,1039,1617
2007,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,571,571,0,0,0,0,0,1062,1062,1633
2008,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,1164,1164,0,0,0,0,0,2158,2158,3322
2009,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470
2010,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,1352,1352,0,0,0,0,0,2482,2482,3834
2011,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,743,743,0,0,0,0,0,1321,1321,2064
2012,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,760,760,0,0,0,0,0,1412,1412,2172
2013,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,828,828,0,0,0,0,0,1483,1483,2447
2014,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,849,849,0,0,0,0,0,1510,1510,2477
2015,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,864,864,0,0,0,0,0,1553,1553,2622
2016,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,891,891,0,0,0,0,0,1589,1589,2884
2017,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,929,929,0,0,0,0,0,1651,1651,2995
2018,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,1005,1005,0,0,0,0,0,1752,1752,3404
2019,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,1101,1101,0,0,0,0,0,1869,1869,3644
2020,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,229,229,0,0,0,0,0,511,511,3862
2021,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4358
2022,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,1643,1643,0,0,0,0,0,2542,2542,4541
2023,91,64,Iran (Islamic Rep. of),France,IRN,FRA,IRN,FRA,0,0,0,0,0,1882,1882,0,0,0,0,0,2803,2803,5105
2001,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,16,18,16,107,0,464,621,18,22,19,246,0,615,920,1548
2002,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,7,16,13,150,0,352,538,11,19,16,170,5,445,666,1391
2003,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,0,0,0,0,0,331,331,0,0,0,0,0,424,424,1200
2004,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,10,15,14,113,0,326,478,18,28,24,141,5,427,643,1121
2005,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,8,15,13,89,0,320,445,16,23,19,114,5,412,589,1220
2006,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,0,0,0,0,0,481,481,0,0,0,0,0,651,651,1383
2007,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,40,62,54,344,0,584,1084,54,90,80,640,10,824,1698,2782
2008,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,46,98,68,528,10,578,1328,72,128,136,1196,24,848,2404,7136
2009,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,56,88,70,550,10,568,1342,60,124,130,1190,26,854,2384,3726
2010,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,26,39,28,265,10,311,679,25,49,46,583,11,456,1170,1849
2011,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,31,40,38,294,5,299,707,24,58,46,613,12,473,1226,1933
2012,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,22,34,24,236,5,461,782,17,35,27,450,11,732,1272,2054
2013,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,29,47,40,302,5,347,770,27,37,33,542,16,542,1197,2030
2014,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,23,40,31,252,5,377,728,23,36,30,450,15,592,1146,1937
2015,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,19,36,35,206,5,577,878,29,38,35,428,12,391,933,2298
2016,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,30,53,44,388,7,447,969,38,66,62,722,22,634,1544,2513
2017,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,39,52,43,400,7,651,1192,47,57,55,700,28,463,1350,2542
2018,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,44,46,46,440,9,468,1053,46,65,51,749,28,696,1635,2688
2019,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,54,54,59,473,10,0,650,59,77,54,760,28,0,978,2863
2020,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,52,49,53,402,12,0,568,45,66,69,647,29,0,856,2826
2021,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,47,52,56,405,17,0,577,43,70,80,636,29,0,858,2921
2022,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,36,60,57,456,23,10,642,45,74,69,673,35,15,911,3083
2023,91,184,Iran (Islamic Rep. of),Switzerland,IRN,SWI,IRN,CHE,43,66,57,528,28,674,1396,44,85,74,740,35,910,1888,3284
2001,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6791
2002,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7065
2003,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6740
2004,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6523
2005,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860
2006,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5821
2007,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5380
2008,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5498
2009,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6580
2010,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3630
2011,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3649
2012,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126
2013,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4535
2014,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5071
2015,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8963
2016,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8821
2017,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8983
2018,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9439
2019,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,1075,1075,0,0,0,0,0,1366,1366,9849
2020,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,684,684,0,0,0,0,0,1073,1073,9264
2021,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,363,363,0,0,0,0,0,437,437,8150
2022,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,0,0,0,0,0,267,267,0,0,0,0,0,384,384,7523
2023,91,183,Iran (Islamic Rep. of),Sweden,IRN,SWE,IRN,SWE,103,330,282,1633,105,318,2771,90,291,341,2216,74,389,3401,6172
2001,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4115
2002,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5375
2003,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6892
2004,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8044
2005,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9039
2006,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9566
2007,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10227
2008,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20640
2009,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21690
2010,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21674
2011,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13336
2012,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13393
2013,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13638
2014,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14230
2015,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15511
2016,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17255
2017,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18272
2018,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20507
2019,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,1025,1025,0,0,0,0,0,3820,3820,24589
2020,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,2044,2044,0,0,0,0,0,4345,4345,26822
2021,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35188
2022,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41300
2023,91,70,Iran (Islamic Rep. of),United Kingdom of Great Britain and Northern Ireland,IRN,GBR,IRN,GBR,213,1425,2777,7211,2297,0,13923,95,1008,3500,10916,2299,0,17818,44839
2001,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547
2002,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,17,0,0,17,0,5,0,78,5,0,88,462
2003,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,26,0,0,26,0,5,0,242,0,0,247,650
2004,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,29,0,0,29,0,13,11,157,0,0,181,574
2005,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,9,0,0,31,0,0,40,0,6,6,76,0,0,88,473
2006,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,5,0,0,5,0,0,0,88,0,0,88,419
2007,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418
2008,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798
2009,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364
2010,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2672
2011,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
2012,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
2013,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894
2014,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656
2015,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664
2016,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472
2017,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2199
2018,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3467
2019,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,844,844,0,0,0,0,0,1924,1924,4684
2020,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,702,702,0,0,0,0,0,1548,1548,4726
2021,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,281,281,0,0,0,0,0,690,690,4172
2022,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,0,0,0,0,0,124,124,0,0,0,0,0,326,326,4031
2023,91,76,Iran (Islamic Rep. of),Greece,IRN,GRE,IRN,GRC,227,269,148,889,24,126,1683,180,320,275,1326,19,476,2596,4279
2001,91,94,Iran (Islamic Rep. of),Italy,IRN,ITA,IRN,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538
2002,91,94,Iran (Islamic Rep. of),Italy,IRN,ITA,IRN,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575
