country_code,country_name,year,gdp
IT,Italy,2006,1958563654385.64
IT,Italy,2007,2222524108127.65
IT,Italy,2008,2417508414187.19
IT,Italy,2009,2209484319012.65
IT,Italy,2010,2144936254535.0
IT,Italy,2011,2306974020278.21
IT,Italy,2012,2097929495121.68
IT,Italy,2013,2153225581941.46
IT,Italy,2014,2173255507985.84
IT,Italy,2015,1845428048839.1
IT,Italy,2016,1887111188176.93
IT,Italy,2017,1970720904584.71
IT,Italy,2018,2099435266458.67
IT,Italy,2019,2019606796583.53
IT,Italy,2020,1907481094079.23
IT,Italy,2021,2179207773596.09
IT,Italy,2022,2102995942720.44
IT,Italy,2023,2300941152991.81
ES,Spain,1998,618731484575.12
ES,Spain,1999,634394904386.874
ES,Spain,2000,598102854756.08
ES,Spain,2001,627798682378.741
ES,Spain,2002,708938227243.923
ES,Spain,2003,907963217057.645
ES,Spain,2004,1069829382514.67
ES,Spain,2005,1154667551775.88
ES,Spain,2006,1261846683275.29
ES,Spain,2007,1476746276854.51
ES,Spain,2008,1636115447612.5
ES,Spain,2009,1496587590847.66
ES,Spain,2010,1427989078916.67
ES,Spain,2011,1487568659241.25
ES,Spain,2012,1330994811670.31
ES,Spain,2013,1362186923157.65
ES,Spain,2014,1380244561361.96
ES,Spain,2015,1206164777553.12
ES,Spain,2016,1243015667917.12
ES,Spain,2017,1321754088818.83
ES,Spain,2018,1431642809327.06
ES,Spain,2019,1403496387686.27
ES,Spain,2020,1289783836971.21
ES,Spain,2021,1461244901852.69
ES,Spain,2022,1446498147749.03
ES,Spain,2023,1620090734956.89
PT,Portugal,1998,123946327916.296
PT,Portugal,1999,127470385557.184
PT,Portugal,2000,118605192877.388
PT,Portugal,2001,121604107164.997
PT,Portugal,2002,134795565549.419
PT,Portugal,2003,165226175536.793
PT,Portugal,2004,189382122532.169
PT,Portugal,2005,197253876704.921
PT,Portugal,2006,208756449275.848
PT,Portugal,2007,240496147317.381
PT,Portugal,2008,263416394624.084
PT,Portugal,2009,244667762835.543
PT,Portugal,2010,238443864993.217
PT,Portugal,2011,245426767676.002
PT,Portugal,2012,216536676771.973
PT,Portugal,2013,226677408291.745
PT,Portugal,2014,230078616299.675
PT,Portugal,2015,199038523119.639
PT,Portugal,2016,206305431241.638
PT,Portugal,2017,220862990767.229
PT,Portugal,2018,242092894542.888
PT,Portugal,2019,240115970063.019
PT,Portugal,2020,229618773422.577
PT,Portugal,2021,256055879091.139
PT,Portugal,2022,256898675068.927
PT,Portugal,2023,289114289663.542
TR,Turkiye,1998,275941990764.18
TR,Turkiye,1999,256395932738.435
TR,Turkiye,2000,274294623164.043
TR,Turkiye,2001,201753123806.695
TR,Turkiye,2002,240249071871.106
TR,Turkiye,2003,314595572145.767
TR,Turkiye,2004,408865430220.331
TR,Turkiye,2005,506314717661.655
TR,Turkiye,2006,557076157773.479
TR,Turkiye,2007,681321124295.914
TR,Turkiye,2008,770449132861.373
TR,Turkiye,2009,649289324627.732
TR,Turkiye,2010,776967266305.53
TR,Turkiye,2011,838785289694.35
TR,Turkiye,2012,880555885492.269
TR,Turkiye,2013,957799120008.32
TR,Turkiye,2014,938934609296.966
TR,Turkiye,2015,864313810469.009
TR,Turkiye,2016,869682881593.041
TR,Turkiye,2017,858988492853.742
TR,Turkiye,2018,778972108040.602
TR,Turkiye,2019,761005915750.925
TR,Turkiye,2020,720338490327.248
TR,Turkiye,2021,819865223976.115
TR,Turkiye,2022,907118434653.505
TR,Turkiye,2023,1118252964260.77
